Date,Strategy,Turnover,Transaction Cost
2021-08-02,Equal Weight,0.0,0.0
2021-08-02,Maximum Diversification,0.013221129058694197,6.610564529347098e-06
2021-08-02,Maximum Sharpe,0.06460212023116305,3.230106011558152e-05
2021-08-02,Minimum Volatility,0.014193305674483587,7.096652837241793e-06
2021-08-02,Risk Parity,0.004251773010070209,2.1258865050351043e-06
2021-09-01,Equal Weight,0.0,0.0
2021-09-01,Maximum Diversification,0.016610390644406583,8.30519532220329e-06
2021-09-01,Maximum Sharpe,0.23040195709940253,0.00011520097854970127
2021-09-01,Minimum Volatility,0.018743696200147066,9.371848100073533e-06
2021-09-01,Risk Parity,0.006034135774737298,3.017067887368649e-06
2021-10-01,Equal Weight,0.0,0.0
2021-10-01,Maximum Diversification,0.016736495620691495,8.368247810345747e-06
2021-10-01,Maximum Sharpe,0.1889947431693301,9.449737158466506e-05
2021-10-01,Minimum Volatility,0.015840203375134268,7.920101687567135e-06
2021-10-01,Risk Parity,0.009037671186065077,4.5188355930325384e-06
2021-11-01,Equal Weight,0.0,0.0
2021-11-01,Maximum Diversification,0.017620324586190148,8.810162293095074e-06
2021-11-01,Maximum Sharpe,0.31994932116365277,0.0001599746605818264
2021-11-01,Minimum Volatility,0.012119193823511738,6.059596911755869e-06
2021-11-01,Risk Parity,0.0019178296717805576,9.589148358902788e-07
2021-12-01,Equal Weight,0.0,0.0
2021-12-01,Maximum Diversification,0.01984152719241674,9.92076359620837e-06
2021-12-01,Maximum Sharpe,0.350973863602287,0.0001754869318011435
2021-12-01,Minimum Volatility,0.021612411596786833,1.0806205798393417e-05
2021-12-01,Risk Parity,0.00506902971320132,2.53451485660066e-06
2022-01-03,Equal Weight,0.0,0.0
2022-01-03,Maximum Diversification,0.023571602181844162,1.1785801090922081e-05
2022-01-03,Maximum Sharpe,0.4860888106456426,0.0002430444053228213
2022-01-03,Minimum Volatility,0.02578451771366376,1.289225885683188e-05
2022-01-03,Risk Parity,0.006285088608951606,3.1425443044758027e-06
2022-02-01,Equal Weight,0.0,0.0
2022-02-01,Maximum Diversification,0.011262890806500243,5.631445403250122e-06
2022-02-01,Maximum Sharpe,0.23026396259085524,0.00011513198129542763
2022-02-01,Minimum Volatility,0.00780737861560955,3.903689307804775e-06
2022-02-01,Risk Parity,0.00968115406724862,4.840577033624311e-06
2022-03-01,Equal Weight,0.0,0.0
2022-03-01,Maximum Diversification,0.023557364442885073,1.1778682221442538e-05
2022-03-01,Maximum Sharpe,0.3596102011776207,0.00017980510058881037
2022-03-01,Minimum Volatility,0.013532770045049144,6.766385022524573e-06
2022-03-01,Risk Parity,0.006234052252247282,3.1170261261236415e-06
2022-04-01,Equal Weight,0.0,0.0
2022-04-01,Maximum Diversification,0.02688429125360464,1.344214562680232e-05
2022-04-01,Maximum Sharpe,0.5105417670090804,0.0002552708835045402
2022-04-01,Minimum Volatility,0.020041128580048174,1.0020564290024088e-05
2022-04-01,Risk Parity,0.01676583858427387,8.382919292136935e-06
2022-05-02,Equal Weight,0.0,0.0
2022-05-02,Maximum Diversification,0.017522648273049196,8.761324136524599e-06
2022-05-02,Maximum Sharpe,0.2431843583676236,0.0001215921791838118
2022-05-02,Minimum Volatility,0.018734403575179418,9.36720178758971e-06
2022-05-02,Risk Parity,0.004839687567828044,2.419843783914022e-06
2022-06-01,Equal Weight,0.0,0.0
2022-06-01,Maximum Diversification,0.03631989181121065,1.8159945905605325e-05
2022-06-01,Maximum Sharpe,0.19198079400302376,9.599039700151189e-05
2022-06-01,Minimum Volatility,0.036241088859559824,1.8120544429779914e-05
2022-06-01,Risk Parity,0.009409144097933211,4.704572048966606e-06
2022-07-01,Equal Weight,0.0,0.0
2022-07-01,Maximum Diversification,0.0332022742058246,1.6601137102912298e-05
2022-07-01,Maximum Sharpe,0.038452165702008934,1.9226082851004467e-05
2022-07-01,Minimum Volatility,0.02123771633850052,1.061885816925026e-05
2022-07-01,Risk Parity,0.005306573808356849,2.6532869041784245e-06
2022-08-01,Equal Weight,0.0,0.0
2022-08-01,Maximum Diversification,0.032310356939028846,1.6155178469514422e-05
2022-08-01,Maximum Sharpe,0.14248794720363545,7.124397360181772e-05
2022-08-01,Minimum Volatility,0.03736661868626302,1.868330934313151e-05
2022-08-01,Risk Parity,0.009672064934308125,4.836032467154063e-06
2022-09-01,Equal Weight,0.0,0.0
2022-09-01,Maximum Diversification,0.027496960409076975,1.3748480204538488e-05
2022-09-01,Maximum Sharpe,0.1748766972648722,8.743834863243611e-05
2022-09-01,Minimum Volatility,0.025881251772767178,1.2940625886383589e-05
2022-09-01,Risk Parity,0.006913483182751701,3.4567415913758506e-06
2022-10-03,Equal Weight,0.0,0.0
2022-10-03,Maximum Diversification,0.015791005155699117,7.89550257784956e-06
2022-10-03,Maximum Sharpe,0.23243512819976658,0.00011621756409988329
2022-10-03,Minimum Volatility,0.021898616503979392,1.0949308251989697e-05
2022-10-03,Risk Parity,0.007318684991055063,3.6593424955275316e-06
2022-11-01,Equal Weight,0.0,0.0
2022-11-01,Maximum Diversification,0.01912065954214747,9.560329771073736e-06
2022-11-01,Maximum Sharpe,0.273498683079202,0.000136749341539601
2022-11-01,Minimum Volatility,0.028922352063035804,1.4461176031517902e-05
2022-11-01,Risk Parity,0.004712945200568877,2.3564726002844387e-06
2022-12-01,Equal Weight,0.0,0.0
2022-12-01,Maximum Diversification,0.011623644855675807,5.811822427837904e-06
2022-12-01,Maximum Sharpe,0.12326576429333386,6.163288214666693e-05
2022-12-01,Minimum Volatility,0.01438358896414095,7.191794482070475e-06
2022-12-01,Risk Parity,0.006259753541223406,3.129876770611703e-06
2023-01-02,Equal Weight,0.0,0.0
2023-01-02,Maximum Diversification,0.041398367971877514,2.0699183985938758e-05
2023-01-02,Maximum Sharpe,0.19014350140892108,9.507175070446055e-05
2023-01-02,Minimum Volatility,0.019324945230819728,9.662472615409865e-06
2023-01-02,Risk Parity,0.00688896346421225,3.444481732106125e-06
2023-02-01,Equal Weight,0.0,0.0
2023-02-01,Maximum Diversification,0.030866233459170923,1.5433116729585463e-05
2023-02-01,Maximum Sharpe,0.3774706395346157,0.00018873531976730784
2023-02-01,Minimum Volatility,0.013959444352210481,6.979722176105241e-06
2023-02-01,Risk Parity,0.0064910515350812825,3.2455257675406413e-06
2023-03-01,Equal Weight,0.0,0.0
2023-03-01,Maximum Diversification,0.031275321453689206,1.5637660726844605e-05
2023-03-01,Maximum Sharpe,0.16201473496010083,8.100736748005041e-05
2023-03-01,Minimum Volatility,0.02827908308858075,1.4139541544290376e-05
2023-03-01,Risk Parity,0.004589509050630672,2.294754525315336e-06
2023-04-03,Equal Weight,0.0,0.0
2023-04-03,Maximum Diversification,0.03425836294487715,1.7129181472438576e-05
2023-04-03,Maximum Sharpe,0.06268948276127273,3.134474138063636e-05
2023-04-03,Minimum Volatility,0.02351989197179022,1.1759945985895109e-05
2023-04-03,Risk Parity,0.006068517418611988,3.034258709305994e-06
2023-05-01,Equal Weight,0.0,0.0
2023-05-01,Maximum Diversification,0.03230514163530329,1.6152570817651647e-05
2023-05-01,Maximum Sharpe,0.024263957872370963,1.2131978936185482e-05
2023-05-01,Minimum Volatility,0.01878628922807463,9.393144614037315e-06
2023-05-01,Risk Parity,0.0038891439968813946,1.9445719984406975e-06
2023-06-01,Equal Weight,0.0,0.0
2023-06-01,Maximum Diversification,0.02942121514881639,1.4710607574408195e-05
2023-06-01,Maximum Sharpe,0.23135854313158097,0.00011567927156579049
2023-06-01,Minimum Volatility,0.023475558922123885,1.1737779461061943e-05
2023-06-01,Risk Parity,0.0038571689369207435,1.9285844684603718e-06
2023-07-03,Equal Weight,0.0,0.0
2023-07-03,Maximum Diversification,0.03775495960034281,1.8877479800171404e-05
2023-07-03,Maximum Sharpe,0.2886461511072605,0.00014432307555363024
2023-07-03,Minimum Volatility,0.01255267722141164,6.27633861070582e-06
2023-07-03,Risk Parity,0.003796674216729662,1.8983371083648309e-06
2023-08-01,Equal Weight,0.0,0.0
2023-08-01,Maximum Diversification,0.038078680170155546,1.9039340085077773e-05
2023-08-01,Maximum Sharpe,0.4097277542247115,0.00020486387711235576
2023-08-01,Minimum Volatility,0.029631829569057654,1.4815914784528827e-05
2023-08-01,Risk Parity,0.004115655338087484,2.0578276690437424e-06
2023-09-01,Equal Weight,0.0,0.0
2023-09-01,Maximum Diversification,0.03473821297492093,1.7369106487460467e-05
2023-09-01,Maximum Sharpe,0.16200316288539446,8.100158144269723e-05
2023-09-01,Minimum Volatility,0.028498879275935154,1.4249439637967577e-05
2023-09-01,Risk Parity,0.01312804731849461,6.5640236592473045e-06
2023-10-02,Equal Weight,0.0,0.0
2023-10-02,Maximum Diversification,0.03489433599522271,1.7447167997611354e-05
2023-10-02,Maximum Sharpe,0.38669586349915364,0.00019334793174957682
2023-10-02,Minimum Volatility,0.017385322234985796,8.692661117492898e-06
2023-10-02,Risk Parity,0.0034198983995789994,1.7099491997894997e-06
2023-11-01,Equal Weight,0.0,0.0
2023-11-01,Maximum Diversification,0.03262781492210691,1.6313907461053456e-05
2023-11-01,Maximum Sharpe,0.2959782720030937,0.00014798913600154684
2023-11-01,Minimum Volatility,0.016466017078811294,8.233008539405647e-06
2023-11-01,Risk Parity,0.004265688815609528,2.132844407804764e-06
2023-12-01,Equal Weight,0.0,0.0
2023-12-01,Maximum Diversification,0.010241751566521766,5.120875783260883e-06
2023-12-01,Maximum Sharpe,0.273313228724267,0.00013665661436213351
2023-12-01,Minimum Volatility,0.015794964459013405,7.897482229506704e-06
2023-12-01,Risk Parity,0.010821327601408415,5.410663800704208e-06
2024-01-01,Equal Weight,0.0,0.0
2024-01-01,Maximum Diversification,0.03074953435110795,1.5374767175553975e-05
2024-01-01,Maximum Sharpe,0.1307195666953656,6.53597833476828e-05
2024-01-01,Minimum Volatility,0.022309181097181864,1.1154590548590932e-05
2024-01-01,Risk Parity,0.003428260400859612,1.714130200429806e-06
2024-02-01,Equal Weight,0.0,0.0
2024-02-01,Maximum Diversification,0.02911775811897959,1.4558879059489795e-05
2024-02-01,Maximum Sharpe,0.15799362571250763,7.899681285625382e-05
